"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"CCDC88A",0,0.177567341890101,0.0977662209492275,0.284339110237262,0.121086565312112,0.372550879469819,1.00393117268931,0,0.320791335632605,0.892060912790898,1.29012028211764,0,0.550806901215346,0.967485715352617,0.855174846321549,0.988755664053501,0.317701057635722,1.05108694462552,0,0
"CCL13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.576500160825998,0,0,0,0,0,0
"CCL18",0,0,0,0,0,0,0,0,0.324474148716367,0,0,0,0,1.02882140552028,0,0.479789967041798,0,0,0,0
"CCL2",0,0.148108967463434,0,0.180822331002275,0.166450337379554,0,0.45109159486512,0.140287782416436,0,0.333048255587181,0,0,0,0.922500404471816,0.531051169995764,1.00958836071628,0,0,0,0.73725403178872
"CCL5",0,0.141333856109426,0.12709860243992,0.0974305477405282,0.19690491025789,0.126895809913503,0.409304786047509,0.0997989858233716,0,0.273351200735453,0,0,0,0,0,0,1.8362018280765,0,0,0
"CCM2L",0,0,0,0,0.0797679988039229,0,0,0.122128558175161,1.11883882527539,0,0,0,0.733612026926248,0,0,0,0,0,0,0
"CCR1",0,0.04984351192381,0.0678127141973913,0.128420951630724,0,0.122629604664391,0.924161182768,0,0,0.864696788037828,0,0,0.565252568089719,1.09271897840956,0,1.01412858769382,0.808518956738675,1.14348826938625,0,0
"CD163",0,0.117078137890834,0.0547038971334192,0,0,0.0943872338969027,1.00529621950386,0,0,1.07069456820784,0,0,0,1.36828864064757,0,1.0660362975995,0,1.19973975477303,0,0
"CD1A",0,0,0,0,0,0,0,0,0,0.218309468484322,0.708712359494333,0,0,0,0,0,0,0,0,0
"CD1C",0,0,0,0,0,0,0.691370240231393,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD2",0,0,0.0784850961387109,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39649810059539,0,0,0
"CD200",0,0,0,0,0,0,0,0,0,0,0,1.16954588345109,0.779431688845338,0,0,0,0,0,0,0
"CD22",0,0.111602435873089,0.127649083554202,0.184803521379288,0.170099656718551,0,0,0.176212533428334,0,0.277081051472646,0,0,0,0,0.948393898081318,0.438368726417513,0,0,0.425209709632419,0
"CD300E",0,0,0,0,0,0,0,0.0980984247649766,0,0.50492460870977,0,0,0,1.03027215904006,0,1.16737653370655,0,1.03375859101842,0,0
"CD300LB",0,0,0,0,0,0,0,0,0,0.218309468484322,0.429327145676563,0,0,0,0,0.859111781913344,0,0.49018223070289,0,0
"CD34",0,0,0.062622650397272,0,0.126867347757264,0.0883524277973418,0,0.159429152895271,0,0,0,0,1.28350099118869,0.27774880609744,0,0,0,0,0,1.07473146892562
